"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId"
"2025-05-01 07:38:05",1746085085005,"dealpig.vercel.app/login","GET","",200,"6k829-1746085084863-c0f1397f24d3","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","PRERENDER","static","/login","dealpig.vercel.app","dealpig-g7ufyadou-truesoulcoders-projects.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"",-1,-1,"","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
"2025-05-01 07:38:04",1746085084895,"dealpig.vercel.app/login","GET","",-1,"6k829-1746085084863-c0f1397f24d3","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","MISS","edge-middleware","/middleware","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"iad1",-1,-1,"[Middleware] Allowing request for /login","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
"2025-05-01 07:38:04",1746085084895,"dealpig.vercel.app/login","GET","",-1,"6k829-1746085084863-c0f1397f24d3","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","MISS","edge-middleware","/middleware","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"iad1",-1,-1,"[Middleware] Pathname: /login","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
"2025-05-01 07:38:04",1746085084895,"dealpig.vercel.app/login","GET","",-1,"6k829-1746085084863-c0f1397f24d3","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","MISS","edge-middleware","/middleware","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"iad1",-1,-1,"[Middleware] Session status: None","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
"2025-05-01 07:38:04",1746085084895,"dealpig.vercel.app/login","GET","",-1,"6k829-1746085084863-c0f1397f24d3","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","MISS","edge-middleware","/middleware","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"iad1",-1,-1,"[Middleware] Attempting to get session...","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
"2025-05-01 07:38:04",1746085084873,"dealpig.vercel.app/login","GET","",200,"6k829-1746085084863-c0f1397f24d3","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","MISS","edge-middleware","/middleware","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"iad1",-1,-1,"","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
"2025-05-01 07:38:04",1746085084821,"dealpig.vercel.app/","GET","",-1,"6k829-1746085084781-ddd08d751dd1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","MISS","edge-middleware","/middleware","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"iad1",-1,-1,"[Middleware] No session for protected route, redirecting to login from /","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
"2025-05-01 07:38:04",1746085084821,"dealpig.vercel.app/","GET","",-1,"6k829-1746085084781-ddd08d751dd1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","MISS","edge-middleware","/middleware","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"iad1",-1,-1,"[Middleware] Pathname: /","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
"2025-05-01 07:38:04",1746085084818,"dealpig.vercel.app/","GET","",-1,"6k829-1746085084781-ddd08d751dd1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","MISS","edge-middleware","/middleware","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"iad1",-1,-1,"[Middleware] Session status: None","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
"2025-05-01 07:38:04",1746085084818,"dealpig.vercel.app/","GET","",-1,"6k829-1746085084781-ddd08d751dd1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","MISS","edge-middleware","/middleware","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"iad1",-1,-1,"[Middleware] Attempting to get session...","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
